OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
281,2006,SUZUKI/ COLT (MFD. BY SUZUKI MOTOR CORP.),,Motorcycle,BLK,4000,Monday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,8/20/2019 5:00:00 AM,8/19/2019 5:00:00 AM,2019,"BERNARD ST, PRINCE ALBERT ST",Central,5050012.00,Afternoon,Rawlson King,600,1700,-75.6422128850397,45.4252312610675
282,2017,LEXUS,,Suv,GRY,,Tuesday,N,Crestview - Meadowlands,Ward 8 - College,Sector 17,8/20/2019 5:00:00 AM,8/20/2019 5:00:00 AM,2019,"MEADOWLANDS DR, SULLIVAN AVE",West,5050134.00,Night,Laine Johnson,600,200,-75.7523040349375,45.3437104217428
283,2017,LEXUS,RX300,Suv,GRY,,Monday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,8/20/2019 5:00:00 AM,8/19/2019 5:00:00 AM,2019,"BROOK LANE, WESTWOOD DR",West,5050134.00,Afternoon,Laine Johnson,800,1600,-75.747748107004,45.34293510789
284,2015,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,BRN,,Wednesday,Y,Lindenlea - New Edinburgh,Ward 13 - Rideau-Rockcliffe,Sector 25,8/21/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"IVY CRES, PUTMAN AVE",Central,5050058.00,Morning,Rawlson King,800,600,-75.6784065308689,45.4426127977935
285,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,GRY,,Tuesday,Y,Lindenlea - New Edinburgh,Ward 13 - Rideau-Rockcliffe,Sector 25,8/21/2019 5:00:00 AM,8/20/2019 5:00:00 AM,2019,"ROCKCLIFFE WAY, SPRINGFIELD RD",Central,5050058.00,Evening,Rawlson King,600,2100,-75.6778831776474,45.4460825029234
286,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,BLK,,Tuesday,N,Lindenlea - New Edinburgh,Ward 13 - Rideau-Rockcliffe,Sector 25,8/21/2019 5:00:00 AM,8/20/2019 5:00:00 AM,2019,"BERTRAND ST, IVY CRES W",Central,5050057.00,Evening,Rawlson King,800,2100,-75.6799469617045,45.4412830783893
287,,,,Other,WHI,,Tuesday,N,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,8/21/2019 5:00:00 AM,7/30/2019 5:00:00 AM,2019,"ST. LAURENT BLVD, COTE ST",East,5050061.00,Afternoon,Rawlson King,1100,1200,-75.6438302485423,45.4357448041464
288,,,,Motorcycle,,,Tuesday,N,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,8/21/2019 5:00:00 AM,8/20/2019 5:00:00 AM,2019,"CUMMINGS AVE, SHANE ST",East,5050061.00,Evening,Rawlson King,1600,2300,-75.6355100881191,45.4331984958719
289,2018,LEXUS,,Automobile,BLK,,Wednesday,N,Westboro,Ward 15 - Kitchissippi,Sector 21,8/22/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"CHURCHILL AVE, WILMONT AVE",Central,5050045.00,Afternoon,Jeff Leiper,1200,1700,-75.754977861763,45.3940908430807
290,2012,KIA MOTORS CORPORATION,,Automobile,SIL,,Thursday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,8/22/2019 5:00:00 AM,8/22/2019 5:00:00 AM,2019,"NELSON ST, YORK ST",Central,5050056.00,Morning,Stéphanie Plante,800,700,-75.6855479957514,45.431352674267
291,2012,KIA MOTORS CORPORATION,SORENTO,Automobile,MRN,,Thursday,Y,Carleton University,Ward 17 - Capital,Sector 22,8/22/2019 5:00:00 AM,8/22/2019 5:00:00 AM,2019,"LIBRARY RD, UNIVERSITY RD",Central,5050020.01,Evening,Shawn Menard,1900,1800,-75.7004583800321,45.3792335663578
292,2016,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Suv,GRY,,Wednesday,N,Crestview - Meadowlands,Ward 8 - College,Sector 17,8/22/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"MALCOLM PL, PALSEN ST",West,5050134.00,Evening,Laine Johnson,800,2100,-75.7419583089663,45.3455424689759
293,2013,SUBARU,,Automobile,RED,2500,Saturday,Y,Westboro,Ward 15 - Kitchissippi,Sector 21,8/22/2019 5:00:00 AM,8/17/2019 5:00:00 AM,2019,"PATRICIA AVE, RICHMOND RD",Central,5050045.00,Morning,Jeff Leiper,1700,1000,-75.7444575022521,45.3962050465035
294,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,SIL,,Thursday,Y,West Centertown,Ward 17 - Capital,Sector 22,8/22/2019 5:00:00 AM,8/22/2019 5:00:00 AM,2019,"BRONSON AVE, RENFREW AVE",Central,5050035.00,Night,Shawn Menard,300,300,-75.7008947175716,45.4030988614525
295,2017,LEXUS,RX300,Suv,RED,,Wednesday,N,Island Park,Ward 15 - Kitchissippi,Sector 21,8/22/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"BYRON AVE, HARMER AVE",Central,5050044.00,Morning,Jeff Leiper,800,1000,-75.7328231043031,45.3973501267693
296,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Suv,BLK,,Wednesday,Y,Westboro,Ward 15 - Kitchissippi,Sector 21,8/22/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"CHURCHILL AVE, WHITBY AVE",Central,5050045.00,Evening,Jeff Leiper,800,1800,-75.7545886318573,45.3934473998357
297,2019,MERCEDES-BENZ,,Suv,WHI,,Wednesday,N,Chapman Mills - Rideau Crest - Davidson Heights,Ward 24 - Barrhaven East,Sector 16,8/23/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"PRINCE OF WALES DR, RIDEAU GLEN DR",West,5050141.08,Evening,Wilson Lo,1100,2000,-75.7011422178358,45.2986778915231
298,2012,,,Motorcycle,RED,,Wednesday,N,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,8/23/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"CUMMINGS AVE, BURN ST",East,5050061.00,Afternoon,Rawlson King,1500,1700,-75.6369274363255,45.4358008240051
299,1980,CHEVROLET,CAMARO,Automobile,WHI,,Friday,N,Richmond,Ward 21 - Rideau-Jock,Sector 12,8/24/2019 5:00:00 AM,8/23/2019 5:00:00 AM,2019,"DOBSON LANE, MCBEAN ST",West,5050151.09,Evening,David Brown,1000,2000,-75.8145526736077,45.173276267213
300,2009,HYUNDAI,ELANTRA,Automobile,GRY,,Friday,Y,Centretown,Ward 14 - Somerset,Sector 23,8/24/2019 5:00:00 AM,8/23/2019 5:00:00 AM,2019,"FLORA ST, LYON ST N  ",Central,5050039.00,Evening,Ariel Troster,900,2300,-75.6968566639705,45.409152594668
301,2010,DODGE,CARAVAN,Van,RED,,Saturday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,8/25/2019 5:00:00 AM,8/24/2019 5:00:00 AM,2019,"OLYMPIC WAY, OLYMPIC WAY, OLYMPIC WAY",East,5050123.02,Evening,Jessica Bradley,800,2100,-75.6275304485151,45.3521316501667
302,2016,DODGE,RAM 1500 PU,Truck,SIL,,Sunday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,8/25/2019 5:00:00 AM,8/25/2019 5:00:00 AM,2019,"LEAMINGTON WAY, PAUL METIVIER DR",West,5050141.12,Night,Wilson Lo,200,200,-75.7303108894776,45.2664924133139
303,2008,MAZDA,MAZDA 5,Automobile,GRY,,Sunday,Y,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,8/25/2019 5:00:00 AM,8/25/2019 5:00:00 AM,2019,"CUMBERLAND ST, STEWART ST",Central,5050050.00,Evening,Stéphanie Plante,200,2000,-75.6860174798564,45.4261150986447
304,,,,Other,,,Sunday,Y,Cumberland,Ward 1 - Orléans East-Cumberland,Sector 37,8/26/2019 5:00:00 AM,8/25/2019 5:00:00 AM,2019,"FAMILLE-LAPORTE, DE LA AVE,OLD MONTREAL RD",East,5050171.06,Evening,Matthew Luloff,800,2200,-75.4677806141113,45.4943547670376
305,2008,FORD,RANGER,Truck,RED,,Monday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,8/26/2019 5:00:00 AM,8/26/2019 5:00:00 AM,2019,"SIMONEAU WAY, WILKIE DR",East,5050170.09,Evening,Matthew Luloff,200,2000,-75.4853109790087,45.4702065212577
306,2008,FORD,F250,Truck,BLU,,Tuesday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,8/27/2019 5:00:00 AM,8/27/2019 5:00:00 AM,2019,"ASPENVIEW WAY N, MEADOWGLEN DR N",East,5050125.09,Morning,Laura Dudas,1100,1100,-75.526640887295,45.4504185306781
307,,,,Other,GRYBLU,,Wednesday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,8/27/2019 5:00:00 AM,8/21/2019 5:00:00 AM,2019,"HENEY ST, WURTEMBURG ST",Central,5050052.00,Morning,Stéphanie Plante,800,900,-75.6765204288412,45.4351843442688
308,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",,Automobile,BLK,,Tuesday,Y,Civic Hospital-Central Park,Ward 16 - River,Sector 21,8/28/2019 5:00:00 AM,8/27/2019 5:00:00 AM,2019,"FISHER AVE, 220 S OF TRENT ST",Central,5050021.00,Afternoon,Riley Brockington,200,1700,-75.7201888676797,45.3777670768561
309,2019,NISSAN,,Automobile,GRY,,Tuesday,Y,Orléans Central,Ward 2 - Orléans West-Innes,Sector 31,8/28/2019 5:00:00 AM,8/27/2019 5:00:00 AM,2019,"BAKKER CRT, BROOKSIDE LANE",East,5050124.01,Evening,Laura Dudas,600,1900,-75.5403455917829,45.4662820797362
310,2018,LINCOLN-CONTINENTAL,,Automobile,WHI,,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,8/28/2019 5:00:00 AM,8/27/2019 5:00:00 AM,2019,"MCLEOD ST E, METCALFE ST E",Central,5050037.00,Morning,Ariel Troster,800,1100,-75.6876829542526,45.4137621039434
311,2002,"TOYOTA/ TOYOTA MOTOR CO., LTD.",TERCEL,Automobile,GRY,,Monday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,8/28/2019 5:00:00 AM,8/5/2019 5:00:00 AM,2019,"BOTSFORD ST, SHELLEY AVE",East,5050011.01,,Marty Carr,1600,,-75.6394817063116,45.4073303875136
312,2011,CHEVROLET,SILVERADO,Truck,SIL,,Wednesday,N,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,8/28/2019 5:00:00 AM,8/28/2019 5:00:00 AM,2019,"RIDEAU ST, 88 W OF WILLIAM ST, FREIMAN MALL",Central,5050054.00,Morning,Stéphanie Plante,1700,1000,-75.6920338072579,45.4260585710361
313,2009,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,GRY,,Wednesday,Y,Tanglewood,Ward 9 - Knoxdale-Merivale,Sector 17,8/29/2019 5:00:00 AM,8/28/2019 5:00:00 AM,2019,"FINROD CRT, NESTOW DR",West,5050130.02,Evening,Sean Devine,900,2000,-75.7403812260076,45.337514094209
314,,JOHN DEERE/ DEERE AND COMPANY,,Other,,5000,Monday,N,Vars,Ward 20 - Osgoode,Sector 37,8/30/2019 5:00:00 AM,8/26/2019 5:00:00 AM,2019,"ROCKDALE RD,FARISITA DR",East,5050171.03,Afternoon,George Darouze,1800,1200,-75.3548157875729,45.3594376995519
315,2011,DODGE,JOURNEY,Automobile,ONG,,Friday,Y,Carlingwood West - Glabar Park - McKellar Heights,Ward 7 - Bay,Sector 14,8/30/2019 5:00:00 AM,8/30/2019 5:00:00 AM,2019,"CARLING AVE, CARLINGWOOD SC",West,5050025.00,Afternoon,Theresa Kavanagh,1600,1600,-75.7688240989099,45.370857722761
316,1990,PLYMOUTH,ACCLAIM,Automobile,BLU,,Thursday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,8/30/2019 5:00:00 AM,8/29/2019 5:00:00 AM,2019,"LAUREL ST, SPADINA AVE",Central,5050043.00,Evening,Jeff Leiper,1200,2300,-75.7206601081806,45.4040977740222
317,2009,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,GRY,,Thursday,Y,Ottawa East,Ward 17 - Capital,Sector 22,8/30/2019 5:00:00 AM,8/29/2019 5:00:00 AM,2019,"LEES AVE, 342M E OF CHESTNUT ST",Central,5050015.00,Evening,Shawn Menard,800,2200,-75.6711583692996,45.4155554974428
318,2003,ACURA,TL,Automobile,SIL,,Saturday,Y,West Centertown,Ward 14 - Somerset,Sector 22,8/31/2019 5:00:00 AM,8/31/2019 5:00:00 AM,2019,"GLADSTONE AVE, CAMBRIDGE ST E",Central,5050042.00,Morning,Ariel Troster,900,900,-75.7045281305694,45.4074833342849
319,2018,DODGE,RAM 1500 PU,Truck,BLK,,Saturday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,8/31/2019 5:00:00 AM,8/31/2019 5:00:00 AM,2019,"ECLIPSE CRES W, SUMMER DAYS WALK",East,5050171.10,Evening,Catherine Kitts,200,2000,-75.4626910736939,45.4517592993648
320,2016,HYUNDAI,ELANTRA,Automobile,BLK,,Friday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,8/31/2019 5:00:00 AM,8/30/2019 5:00:00 AM,2019,"BAYCREST DR, SANDALWOOD DR",East,5050007.02,Evening,Marty Carr,1000,2100,-75.6502311370104,45.3771213046279
321,2016,DODGE,CARAVAN,Automobile,WHI,,Sunday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,9/1/2019 5:00:00 AM,9/1/2019 5:00:00 AM,2019,"BESSERER ST, KING EDWARD AVE",Central,5050053.00,Morning,Stéphanie Plante,900,900,-75.6852666540848,45.4280816174408
322,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,WHI,,Sunday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,9/2/2019 5:00:00 AM,9/1/2019 5:00:00 AM,2019,"PRINCESS LOUISE DR, BROOKRIDGE CRES W, FALWYN CRES W",East,5050170.10,Evening,Matthew Luloff,1200,2100,-75.4930406235191,45.4835748352562
323,1988,GENERAL MOTORS CORP.,,Automobile,ONG,,Saturday,N,Navan - Carlsbad Springs,Ward 20 - Osgoode,Sector 37,9/2/2019 5:00:00 AM,8/31/2019 5:00:00 AM,2019,"FARMERS WAY N, FARMERS WAY N",East,5050126.04,Afternoon,George Darouze,1400,1200,-75.5095447120135,45.3657831886148
324,2013,HYUNDAI,,Automobile,WHI,7000,Tuesday,N,Hunt Club East - Western Community,Ward 10 - Gloucester-Southgate,Sector 35,9/3/2019 5:00:00 AM,9/3/2019 5:00:00 AM,2019,"COTTER'S CRES, DOWNPATRICK RD N",East,5050127.00,Afternoon,Jessica Bradley,1800,1700,-75.6625240132014,45.344438727548
325,2014,DODGE,,Automobile,BLU,,Wednesday,Y,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,9/3/2019 5:00:00 AM,6/26/2019 5:00:00 AM,2019,"ALBION RD, FONTENAY CRES",East,5050001.06,Afternoon,Jessica Bradley,1900,1300,-75.6453344188296,45.3580634047393
326,2015,CASE / J.I. CASE/ CONSTRUCTION KING /CASE-GENERAL ,,Other,YEL,,Friday,N,Westboro,Ward 15 - Kitchissippi,Sector 21,9/4/2019 5:00:00 AM,8/30/2019 5:00:00 AM,2019,"LEIGHTON TER, RICHMOND RD",Central,5050033.02,Afternoon,Jeff Leiper,800,1500,-75.7430738680515,45.3968246055334
327,2015,FORD,F250,Truck,GRY,,Tuesday,N,Stittsville,Ward 6 - Stittsville,Sector 13,9/4/2019 5:00:00 AM,9/3/2019 5:00:00 AM,2019,"IVA ST, SAVAGE DR",West,5050151.05,Evening,Glen Gower,700,2300,-75.916929042892,45.2756413653797
328,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,WHI,,Thursday,Y,Dunrobin,Ward 5 - West Carleton-March,Sector 11,9/5/2019 5:00:00 AM,9/5/2019 5:00:00 AM,2019,"FARM LANE, TORWOOD DR",West,5050302.00,Night,Clarke Kelly,1400,100,-76.0253147089176,45.4801348159681
329,2018,FORD,SPECIAL,Automobile,GRY,,Monday,N,Britannia Village,Ward 7 - Bay,Sector 14,9/5/2019 5:00:00 AM,9/2/2019 5:00:00 AM,2019,"HOWE ST, POULIN AVE",West,5050030.00,Evening,Theresa Kavanagh,1000,2200,-75.7941580602359,45.3665471084781
330,2003,CHEVROLET,CAVALIER,Automobile,SIL,1000,Thursday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 16 - River,Sector 34,9/5/2019 5:00:00 AM,9/5/2019 5:00:00 AM,2019,"AIRPORT PKY, WALKLEY RD NB RAMP",East,5050001.01,Morning,Riley Brockington,1700,800,-75.6647617808182,45.3640211462782
331,,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,BLU,,Tuesday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,9/6/2019 5:00:00 AM,8/13/2019 5:00:00 AM,2019,"ALBION RD, ALBION RD S",East,5050123.02,,Jessica Bradley,200,,-75.6430443529161,45.3539424230486
332,1998,DODGE,RAM 1500 PU,Automobile,BLKBLU,,Friday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,9/6/2019 5:00:00 AM,9/6/2019 5:00:00 AM,2019,"265 E OF WOODROFFE AVE, NAVAHO DR",West,5050133.00,Morning,Laine Johnson,1800,800,-75.7581911866108,45.3501995194917
333,,ACURA,MDX,Suv,SIL,,Saturday,N,Carlington,Ward 16 - River,Sector 21,9/7/2019 5:00:00 AM,9/7/2019 5:00:00 AM,2019,"TRENTON AVE, VALE ST",Central,5050021.00,Morning,Riley Brockington,1100,1100,-75.724940457111,45.3779665759311
334,2019,BMW,,Suv,SIL,,Saturday,Y,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,9/7/2019 5:00:00 AM,9/7/2019 5:00:00 AM,2019,"RUSSELL AVE, LAURIER AVE",Central,5050051.00,Afternoon,Stéphanie Plante,1800,1300,-75.679062235624,45.4269115084565
335,1988,LINCOLN-CONTINENTAL,TOWN CAR,Automobile,GRY,,Friday,Y,Metcalfe,Ward 20 - Osgoode,Sector 36,9/7/2019 5:00:00 AM,9/6/2019 5:00:00 AM,2019,"8TH LINE RD, ELDO ST",East,5050190.01,Evening,George Darouze,700,1900,-75.4700709042819,45.2307036597199
336,,,,Other,GRN,2300,Wednesday,N,Riverside Park,Ward 16 - River,Sector 34,9/7/2019 5:00:00 AM,9/4/2019 5:00:00 AM,2019,"COLMAN ST, KINCAID CRT",East,5050003.00,Afternoon,Riley Brockington,1900,1700,-75.6793267426884,45.3660822215787
337,2004,FORD,F350,Automobile,GRY,,Monday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,9/9/2019 5:00:00 AM,9/9/2019 5:00:00 AM,2019,"BELFAST RD, LAGAN WAY",East,5050011.01,Afternoon,Marty Carr,1300,1300,-75.6289183162222,45.4122175607429
338,1999,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CORONA,Automobile,BLU,,Monday,Y,Carleton Heights - Rideauview,Ward 16 - River,Sector 17,9/9/2019 5:00:00 AM,9/9/2019 5:00:00 AM,2019,"DEBRA AVE, MEADOWLANDS DR",West,5050020.01,Night,Riley Brockington,100,100,-75.7032086758224,45.3674552418138
339,2017,JAGUAR,,Automobile,GRY,,Sunday,Y,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,9/9/2019 5:00:00 AM,9/8/2019 5:00:00 AM,2019,"MICHAEL ST, PARISIEN ST E",East,5050122.02,Evening,Tim Tierney,1400,2300,-75.6303881097976,45.4188427718588
340,2009,AUDI,,Automobile,BLK,,Saturday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,9/9/2019 5:00:00 AM,9/7/2019 5:00:00 AM,2019,"HOGARTH AVE W, BANNON WAY W",East,5050123.02,Morning,Jessica Bradley,1100,1100,-75.6291356864579,45.3450273079929
341,2011,"TOYOTA/ TOYOTA MOTOR CO., LTD.",SIENNA (VAN),Van,GRN,,Sunday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,9/9/2019 5:00:00 AM,9/8/2019 5:00:00 AM,2019,"PORTRUSH AVE, REDCLIFF AVE",West,5050141.11,Evening,Wilson Lo,700,2100,-75.7437754894363,45.2740255064805
342,2016,LAND ROVER,RANGE ROVER,Suv,BLK,,Sunday,Y,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,9/9/2019 5:00:00 AM,9/8/2019 5:00:00 AM,2019,"MICHAEL ST, PARISIEN ST E",East,5050122.02,Evening,Tim Tierney,1100,2100,-75.6303881097976,45.4188427718588
343,2002,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,BLK,4000,Sunday,Y,North Gower,Ward 21 - Rideau-Jock,Sector 12,9/11/2019 5:00:00 AM,9/8/2019 5:00:00 AM,2019,"COMMUNITY WAY, WILLISBROOK DR",West,5050200.02,Evening,David Brown,1500,1900,-75.7117361092449,45.1293993751149
344,2007,CHRYSLER/ CHRYSLER OUTBOARD CORPORATION,SEBRING,Automobile,BLK,,Tuesday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,9/11/2019 5:00:00 AM,9/10/2019 5:00:00 AM,2019,"NAUGHTON ST, PRINCE ALBERT ST",Central,5050012.00,Evening,Rawlson King,800,2000,-75.6496705931778,45.4247291161266
345,,JOHN DEERE/ DEERE AND COMPANY,,Other,GRNYEL,2000,Tuesday,N,Metcalfe,Ward 20 - Osgoode,Sector 36,9/11/2019 5:00:00 AM,8/27/2019 5:00:00 AM,2019,"SPRINGHILL RD, YORKS CORNERS RD",East,5050190.01,Afternoon,George Darouze,900,1200,-75.4102863894601,45.2202858210981
346,2016,,,Motorcycle,,,Monday,Y,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,9/12/2019 5:00:00 AM,9/9/2019 5:00:00 AM,2019,"MALARTIC AVE, SLADEN AVE",East,5050061.00,Night,Rawlson King,1500,0,-75.6438886778629,45.4403345442192
347,2004,CHEVROLET,,Van,WHI,,Monday,N,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,9/12/2019 5:00:00 AM,9/9/2019 5:00:00 AM,2019,"DUMAURIER AVE, WATSON ST",West,5050028.00,Afternoon,Theresa Kavanagh,800,1300,-75.7923643214245,45.3519037204518
348,2014,MITSUBISHI,RVR,Automobile,RED,,Friday,Y,Centretown,Ward 14 - Somerset,Sector 23,9/13/2019 5:00:00 AM,9/13/2019 5:00:00 AM,2019,"JACK PURCELL LANE, FRANK ST",Central,5050037.00,Evening,Ariel Troster,1900,1900,-75.6884537111663,45.4149778158448
349,2010,MAZDA,,Truck,MRN,,Saturday,Y,Overbrook - McArthur,Ward 12 - Rideau-Vanier,Sector 25,9/14/2019 5:00:00 AM,9/14/2019 5:00:00 AM,2019,"NORTH RIVER RD, SELKIRK ST",Central,5050101.00,Afternoon,Stéphanie Plante,1500,1500,-75.6694638025545,45.4317359729998
350,1979,PONTIAC,FIREBIRD,Automobile,WHI,30000,Friday,N,Pierces Corners,Ward 21 - Rideau-Jock,Sector 12,9/14/2019 5:00:00 AM,9/13/2019 5:00:00 AM,2019,"MACKEY RD, MCCORDICK RD",West,5050200.01,Evening,David Brown,1000,1800,-75.7122324187739,45.1007315622461
351,2017,"HONDA/AMERICAN HONDA MOTOR CO.,",,Automobile,GRY,20000,Friday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,9/14/2019 5:00:00 AM,9/13/2019 5:00:00 AM,2019,"KNUDSON DR, SHAUGHNESSY CRES W",West,5050160.07,Evening,Cathy Curry,700,2000,-75.9156700282423,45.3224825515327
352,2003,CHEVROLET,SILVERADO,Truck,BGE,2000,Saturday,Y,Russell - Edwards,Ward 20 - Osgoode,Sector 37,9/14/2019 5:00:00 AM,9/14/2019 5:00:00 AM,2019,"THUNDER RD,BOUNDARY RD",East,5050126.04,Morning,George Darouze,1000,1000,-75.44340349381,45.3453301086925
353,2013,VOLKSWAGEN,JETTA,Automobile,SIL,12000,Thursday,Y,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,9/14/2019 5:00:00 AM,9/12/2019 5:00:00 AM,2019,"SOMERSET ST, RUSSELL AVE",Central,5050051.00,Afternoon,Stéphanie Plante,200,1600,-75.6763301072968,45.4236647090766
354,2012,VOLKSWAGEN,JETTA,Automobile,WHI,,Sunday,Y,Hunt Club East - Western Community,Ward 16 - River,Sector 35,9/15/2019 5:00:00 AM,9/15/2019 5:00:00 AM,2019,"HUNTVIEW PRIV, MCCARTHY RD",East,5050002.05,Evening,Riley Brockington,200,2200,-75.6693844218389,45.3511903540647
355,2011,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,GRY,,Monday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,9/15/2019 5:00:00 AM,8/5/2019 5:00:00 AM,2019,"PRINCE ALBERT ST, WHITTON PL",Central,5050013.00,,Rawlson King,700,,-75.655951721335,45.4242807943874
356,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,GRY,,Monday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,9/16/2019 5:00:00 AM,9/16/2019 5:00:00 AM,2019,"PILLETT ST, LANGRELL CRES",West,5050141.12,Morning,Wilson Lo,800,600,-75.7283833222976,45.2718074901762
357,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,BLK,,Monday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,9/16/2019 5:00:00 AM,9/16/2019 5:00:00 AM,2019,"BENTGRASS GR, SILVERTHORN CRT",West,5050141.04,Night,David Hill,800,0,-75.724822884719,45.2601304160709
358,,"HONDA/AMERICAN HONDA MOTOR CO.,",PILOT,Suv,BLK,,Monday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,9/16/2019 5:00:00 AM,8/26/2019 5:00:00 AM,2019,"HARVEST VALLEY AVE, GLASTONBURY WALK",East,5050171.09,,Catherine Kitts,1700,,-75.4707617480799,45.4472880642925
359,2012,MAZDA,MAZDA 3,Automobile,GRY,,Sunday,Y,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,9/16/2019 5:00:00 AM,9/15/2019 5:00:00 AM,2019,"BLOHM DR, ESSON ST",East,5050001.08,Evening,Jessica Bradley,1700,2100,-75.6117601048162,45.3720639244415
360,2017,NISSAN,ROGUE,Suv,RED,,Monday,Y,Navan - Carlsbad Springs,Ward 20 - Osgoode,Sector 37,9/17/2019 5:00:00 AM,9/16/2019 5:00:00 AM,2019,"BOUNDARY RD, HWY 417 BOUNDARY IC96R61",East,5050171.03,Evening,George Darouze,900,2300,-75.4470288329075,45.3521486463461
